Meno,Link,Licencia
3. liga D2 - 2023-24 ,https://chess-results.com/tnr811935.aspx,Creator/Last Upload: Slovak Chess Federation license 9
3. liga D1 2023/2024 ,https://chess-results.com/tnr825273.aspx,"Creator: Slovak Chess Federation,Last Upload: Slovak Chess Federation license 67"
3. liga A1 2023/24 ,https://chess-results.com/tnr825710.aspx,Creator/Last Upload: Slovak Chess Federation license 5
4. liga D22 - 2023-24 ,https://chess-results.com/tnr811945.aspx,Creator/Last Upload: Slovak Chess Federation license 9
SVK 1.liga Východ 2023/2024 ,https://chess-results.com/tnr815930.aspx,Creator/Last Upload: Slovak Chess Federation license 1
SVK 1.liga Východ 2023/2024 ,https://chess-results.com/tnr815371.aspx,Creator/Last Upload: Slovak Chess Federation license 1
SVK 1. liga Zapad 2023/2024 ,https://chess-results.com/tnr813191.aspx,Creator/Last Upload: Slovak Chess Federation license 3
O Pohar LSS - dlhodoby turnaj 2023/24 ,https://chess-results.com/tnr821826.aspx,Creator/Last Upload: Slovak Chess Federation license 1
1. turnaj serialu Talent 2023/24 21.10.2023 - 23.03,https://chess-results.com/tnr828318.aspx,Creator/Last Upload: Slovak Chess Federation license 1
"Future champions liga 2023/24 Turnaj ""B"" ",https://chess-results.com/tnr819445.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"Future champions liga 2023/24 Turnaj ""A"" ",https://chess-results.com/tnr819442.aspx,Creator/Last Upload: Slovak Chess Federation license 4
5. liga A12 2023/2024 ,https://chess-results.com/tnr826602.aspx,Creator/Last Upload: Slovak Chess Federation license 5
4.liga skupina D11 2023/2024 ,https://chess-results.com/tnr828565.aspx,"Creator: Slovak Chess Federation license 16,Last Upload: Slovak Chess Federation"
4.liga C 21 2023/2024 ,https://chess-results.com/tnr817366.aspx,Creator/Last Upload: Slovak Chess Federation license 1
4. liga D23 2023/2024 ,https://chess-results.com/tnr821040.aspx,Creator/Last Upload: Slovak Chess Federation license 9
4. liga C11 2023/2024 ,https://chess-results.com/tnr822355.aspx,Creator/Last Upload: Slovak Chess Federation license 1
3. liga B1 2023/24 ,https://chess-results.com/tnr821128.aspx,Creator/Last Upload: Slovak Chess Federation license 7
4.liga B21 2023/2024 ,https://chess-results.com/tnr826232.aspx,Creator/Last Upload: Slovak Chess Federation license 7
SVK ECo-C Extraliga 2023/2024 ,https://chess-results.com/tnr813196.aspx,Creator/Last Upload: Slovak Chess Federation license 3
2. turnaj serialu Talent 2023/24 21.10.2023 - 23.03,https://chess-results.com/tnr837840.aspx,Creator/Last Upload: Slovak Chess Federation license 1
5.liga Kysuce 2023/24 ,https://chess-results.com/tnr833941.aspx,Creator/Last Upload: Slovak Chess Federation license 1
5. liga MT-TR Turiec 2023-24 ,https://chess-results.com/tnr840453.aspx,Creator/Last Upload: Slovak Chess Federation
3. turnaj serialu Talent 2023/24 21.10.2023 - 23.03,https://chess-results.com/tnr856953.aspx,Creator/Last Upload: Slovak Chess Federation license 1
"Buď pozdravené Slovensko 2024, 30.ročník ",https://chess-results.com/tnr868454.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Network Cafe Bardejov - GPX mládeže - 3.1.2024,https://chess-results.com/tnr873237.aspx,Creator/Last Upload: Slovak Chess Federation
Veľkonočný turnaj CVČ Lučenec 2,https://chess-results.com/tnr918218.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Novoročný turnaj CVČ Lučenec 2024 ,https://chess-results.com/tnr874510.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Novoročný Primátor Open Košice 2024 (05. ,https://chess-results.com/tnr861632.aspx,Creator/Last Upload: Slovak Chess Federation license 2
"FIDE Open Memoriál Alexandra Handla, Nové Zámky, Ja",https://chess-results.com/tnr836908.aspx,Creator/Last Upload: Slovak Chess Federation
XXII. DUBRAVSKY Trojkralovy turnaj 6.1.2024 ,https://chess-results.com/tnr855984.aspx,Creator/Last Upload: Slovak Chess Federation license 4
